,documentid,paymentid,amount,date,vendor_names,vendor_address
147,00d0485821436,00p0710003558,278.7,17652,SUNFISH,22 LRG PEFUSAHAN 4 KMPAL INDS.PARK B.CAVES
148,00d0570374781,00p0789062046,4.4,17869,AOENCOMHD,"3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR"
149,00d0967073777,00p0550225072,57.9,16824,MRDIYKUCHAISDNBHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINNDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
150,00d0527382713,00p0547259916,93.7,17563,SYARIKATPERNIAGAANGINKEE,"NO 290, ALAN QIR PANAS, SETAPAK, 53200, KUALA LUMPUR."
151,00d0463604996,00p0107313578,8.77,17611,UNIHAKKAINTENRATIONALSDNBHD,"12, JALAN TAMPOI7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRRU,JOHOR"
152,00d0737981299,00p0209872251,112.5,16943,MRDIYMMSDNBHD,"LOT 1951-A & 1851-B, NJALAN KPB 6, KAWSAAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
153,00d0680000515,00p0158739552,83.5,17714,GARDENIABAKEIRESKISDNBHD,"LOT 3, JALAN PELABUR 23/1, 4000 SHAH ALAM, SELANGOR."
154,00d0680178711,00p0287016853,2875.9,17648,RESTORANSIAMMVILAGE,"NO.8,JALAN PERMAS 10/7, PERMAS JAYA, 81750 JOHOR BAHRU ."
155,00d0992959314,00p0920137607,28.54,0,ERBANGALAFRESTAURANTSSDNBHD,"LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39, 47400 PETALING JAYA SELANGOR"
156,00d0106074517,00p0402988794,5.0,17651,MDIYMSDNBHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN HBALAKONG, 43300 SERI KEMBANGAN, SELANGO"
157,00d0901837324,00p0519881698,60.3,17823,INDAHGIFTHOMEDECO,"27, ALAN DERDAP 13, TAMAN JOHHOR JAYA,81100 JOHOR BAHRU, JOHOR."
158,00d0471591245,00p0470434241,74.9,17636,PASARMINIJINSENG,"379, JALAN PERMAS SATU, BANDAR BADU PERMAS JAYA 81750 PLENTONG, JOHOR."
159,00d0668503128,00p0144308456,41.45,17615,WATSONSPERSONALCARESTORESSDNBHD,"USJSUMMIT, SUBANG (S)"
160,00d0281320276,00p0651483374,39.82,17490,LIGHTROOMGALLERRYSDNBD,"NO: 28, JALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR D.E, MALAYSIA"
161,00d0307768744,00p0328550583,2.1,17647,MRDIYMSDNBHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAOKONG, 43300 SERI KEMBANGAN, SELANGOR"
162,00d0393260166,00p0554021435,3.8,17453,AGRDENIABAKERIESKLSDNBHD,"LOT  3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
163,00d0724729985,00p0274447429,2.56,17107,GUARDINHEALTHANDBEEAUTYSDNBHD,"LOT F/L2A.4, LEVEL 2A FIRST WOTRLD PLAZA, FIRST WORLD"
164,00d0457456115,00p0245081950,30.3,17576,SWEETFORESTCAFFE,"NO 21, JLN UBNGA KANTAN TAMAN P. RAMLEE SETAPAK 53000 KUALA LUMPUR"
165,00d0987973134,00p0358311645,31.6,17672,FTOFNOODLEHOUSE,"NO.25, JALAN METRO PERDANABARAT 2, TAMAN USAHAWAN KEPOBG, KEPON G UTARA, 52100 KUALA LUMPUR."
166,00d0394257241,00p0705181921,53.98,0,THFEESTOGES,"109, SS21/1A, DAMANSARA UTAMA"
167,00d0864219792,00p0901498238,3.0,17286,AMANOMALAYSIASDNBHD,12 JALAN PENGACARA U1/48 TEMASYA INDUSTRIAL ARK 40150 SHAH ALAM SELANGO R
168,00d0474678678,00p0422342187,38.37,17670,GUARDIANHEALTHANDBEAUTYSDNBHD,JALAN LOKE YEW BENTONG 90 GROUND FLOOR JALAN BENTTOGN
169,00d0396141876,00p0313429065,39.0,17807,ENWHARDWARECENTEEMSDNBHD,"NO: G3, BLK G, JIN PJU 1A/3, ARA DAMANSARA, 47301 PETALING JAYA, SELANGOR DARUL EHSAN."
170,00d0778866561,00p0364948073,9.3,17488,XANYUSTATIONERYSHOP,"NO. 31G&33G, JAL AN SETIA INDAH X ,U1/X 40170 SETIA ALAM"
171,00d0708763656,00p0162188711,42.9,17579,RJDIYMDNBHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 4330 SERI KEMBANGAN, SELANGOR"
172,00d0510871247,00p0985778261,29.59,17234,GARDENIABAKERIESKLSDNBHD,"LOT 3, JALAN PELABUR 23/1, 4030 SHAH ALAM, SEANTGOR."
173,00d0828214133,00p0777159026,47.2,17555,SYARIKATPERNIAGAANGINKE,"NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR."
174,00d0339705365,00p0118733917,18.8,17316,VIVOPACMARKETINGSDNBYHD,14 JALAN MANIS 4 TAMAN SEGAR 56100 KL
175,00d0242626168,00p0266521309,4.0,17548,ADVANCOCOMPANY,"NO 1&3, JALAN WANGSA DELIMA 12, WANGSA LINK, WANGSA MAJU, 53300 KUALA LUMPPUR"
176,00d0842605090,00p0361820655,5.9,17437,GARDENIABAKERIESKLSDNBHD,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
177,00d0552638268,00p0884622202,31.45,17713,PPULARBOOKCOMSDNBHD,"NO 8, JAIAN 7/118B, DESA TUN RAZAK 56000 KUAALA LUMPUR, MALAYSIA KL FESTIVAL CITY MALL"
178,00d0250566763,00p0560082351,217.0,17222,BEMEDSPSDNBHD,"ON.49, JALAN DINAR G U3/G, SUBANG PERDANA, 40150 SHAH ALAM, SEIANGOR D.."
179,00d0338548353,00p0196022268,39.6,17649,DOMINOSPIZZA,"DOMINO'S PIZZA TAMAN UNIVERSITI 30, JLN KEBUDAYAAN 7, TMN UNIVERSITI 81300 SKUDAI, JOHOR"
180,00d0118393124,00p0146659663,22.5,17589,URBANIDEASDNHBHD,"A-G-06, DATARAN GLOMAC, JJALAN SS6/5A, PUSAT BANDAR KELANA JAYA, 47301 PETALING JAYA, SELANGOR,MALAYSIA"
181,00d0272306272,00p0452020039,10.0,0,SNWAYUSTATIONERYSHOP,"NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM"
182,00d0710387537,00p0987799985,25.51,0,KINGSCONFEGTIONERYSB,"NO.41, JALAN SERI BINTANG 2 TAMAN SRI BINTANG, 52100 KUALALUMPUR."
183,00d0150882989,00p0217490225,45.35,17714,SPEEDMATSB,"LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR"
184,00d0207985673,00p0478149787,17.5,17253,SANYUSTATIOONERYSHOP,"NO. 31G&3G, JALAN SETIA INDAY X ,U13/X 40170 SETIA ALAM"
185,00d0500910371,00p0312399628,24.3,17608,YAMFRESH,"NO. 145G, JALAN RIMBUNAN RAYA 1, LAMAN RIMBUANN KEPONG, 52100 KUALA LUMPUR"
186,00d0921271701,00p0293364892,82.0,0,TANJONGMASBOOKCENTREPJSDNBHD,"LOT F15, GIANT BANDAR PUTERI JALAN PUTERI 1/1, BDR PUTERI 47100 PUCHONG, SELANGOR"
187,00d0757215171,00p0977532734,81.8,17638,YHMAEONTEBRAUCITY,"S117, SECOND FLOOR, AEON TEBRAU CITY, 1, JALAN DESA TEBEAU, TAMAN DESA TEBRAU, 81700 JOHOR BAHRU, JOHOR."
188,00d0977582300,00p0556511305,2.9,17776,AEONCOMBHD,"3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI VCHERAS, 5100 KUALA LUMPUR"
189,00d0363991072,00p0512589757,22.0,17646,IKANOHANDELFDNBD,NO 2A JALAN COCHRANE TAMAN MALURI 5100 KUALA LUMPUR
190,00d0423671916,00p0678296416,22.56,17428,GARDENIABAKERIESKLSDNBHD,"LOT 3, JALANPELA BUR 23/1, 40300 SHHAH ALAM, SELANGOR."
191,00d0166687964,00p0487555692,82.68,17562,SYARIKATPRNIAGAANGINKEE,"NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR."
192,00d0733466225,00p0768405500,277.0,17380,HONHWAHARWDARETRADING,"NO 37, JALAN MANIS 7, TAMAN SEGAR, 5610 CHERAS, KUALA LUMPUR."
193,00d0916574976,00p0837861865,10.6,17608,NRDIYSDNBHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSRTIAN BALAKONG, 43300 SERI KEMBANGAN, SEELANGOR"
194,00d0459172796,00p0242269339,54.15,17295,GARDENIABAKERIESKLSDNBHD,"IOT 3, JALAN PELABUR 23/1, 4030 SHAH ALAM, SELANGOR."
195,00d0849221655,00p0164078827,71.9,17565,MRDIYMSRDNBHD,"LOT 18551-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
196,00d0464742744,00p0315358171,12.0,17429,SAYUSTATIONERYSHOP,"NO. 31G&33G, JAALAN SETIA INDAH X ,Y13/X 40170 SETIA ALAM"
197,00d0845867211,00p0369823709,12.0,17261,BILLIONSIXENTERPRISE,"NO 3, JALAN TAMAN JASA 2, SECTION U6, 40510 SHAH ALAM."
198,00d0320901819,00p0750455858,52.8,17670,TFVALUEMARTSDNBHD,JALAN TRAS BATU 1 2870 BENTONG PAHANG DARUL MAKMUR.
199,00d0972867846,00p0788987435,39.9,17675,FIGHTOUNCECOFFEECO,"F.K06, FIRST FLOOR, TEH GARDENS MALL, MID VALLEY CITY, LINGKARAN SYED PUTRA, 59200 KUALA LUMPUR."
200,00d0738014969,00p0392985097,174.9,17593,THREESTOOGES,"109, SS21/1A, DAMANSAAR UTAMA"
201,00d0877220068,00p0580993464,233.56,17454,GARDENIABAKERIESKLSDNBHD,"LOT 3, JALAN EPLABUR 23/1, 40300 SHANH ALAM, SELANGOR."
202,00d0485748096,00p0348382420,552.8,16862,SPEEOMARTSB,"LOT P.T. 3198, BATU 4 JALAN KAPAR, MUKIM KAPAR 42100 KLANG, SELANGOR 1320-TMN BATU"
203,00d0768446621,00p0310542528,14.65,17684,POPULARBOOKCOMSDNBHD,"NO 8, JALAN 7/118B, DESA TAN RAZAH 56000 KUALA LUMPUR, MALAYSIA KSL CITY"
204,00d0837787542,00p0372891796,73.0,17520,LIGHTROOMGALLERYSDNBHD,"NO:28, JALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR D.E, MALAYSIA"
205,00d0965540723,00p0510406308,48.1,17646,MRDIYMDSNBHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BAALAKONG, 432300 SERI KEMBANGAN, SDLANGOR"
206,00d0880901672,00p0741339461,9.9,17640,UNIHAKKAINTERNATIONALSDNBHD,"12, JALAN TMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,812 00 JOHOR BAHRU,JOHOR"
207,00d0201738305,00p0223261047,8.5,0,GERBANGALAFRESTAURANTSSDNHD,"LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3,JALAN SS21/39, 47400 PETALING JAYA SELANGOR"
208,00d0194569644,00p0869155195,533.2,17649,MRDIYMSDNBHD,"LOT 1851-A & 1851-BB, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
209,00d0328806229,00p0239831584,9.8,17890,BOKTAKTAMANDAYASDNBJD,"NO.53 55,57 & 59, JALAN SAGU 18, TAMAN DAYA, 81100 JOHOR BAHRU, JOHOR."
210,00d0859698635,00p0210779093,53.14,17408,GARDENIABAKERIESKISDNBHD,"LOT 3, JALAN PELABUR 3/2, 40300 SHAH ALAM, SE LANGOR."
211,00d0577470816,00p0465301215,6.2,17623,UNIHAKKAINTERNATIONALSDNBHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRRU,JOHOR"
212,00d0784934925,00p0995961862,3.0,17545,SUNVICTORYSDNBHD,"LEVEL G2, BLOCK D1, SOLARIS DUTAMAS, NO.1, JALAN DUTAMAS1, 50480 KUALA LUMPUR"
213,00d0954032591,00p0747432839,7.1,17619,UNIHAKKAINTERNATKIONALSDNBHD,"12 JALAN TAMPOI 7/4,KAWASAN PERINDSUTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR"
214,00d0594663786,00p0436356277,89.0,16805,BESTDDNKIMALAYSIA,"LOT LG26, SUABNG PARADE NO.5, JALAN SS216/1 47500 SUBANG JAYA, SELANGOR"
215,00d0542888628,00p0332131473,13.6,16824,PSEEDMARTSB,"LOT P.T. 33198, BATU 4 JALAN KAPAR, MUKIM KAPAR 42100 KLANG, SELANGOR 1181-TMN SRI SINAR"
216,00d0308106888,00p0484590369,6.4,17641,PASRAYAJALALSDNBHD,"10-18,JLN KEBUD AYAAN 16,TMN Y 81300 JOHOR BAHRU."
217,00d0980207211,00p0382221059,14.9,17295,SANYUSTATIONERYSHOP,"NO. 31G&33G, JALAN SETA INDAH X ,U13/X 40170 SETIA ALAM"
218,00d0166829801,00p0670113358,59.5,17705,SYLROASTEDDELIGHTSSDNBHD,"75. JALAN SS 22/19, DAMANSARA JAYA, 5740 PJ"
219,00d0543055869,00p0565341771,71.0,17536,MRDAKGALBISOLARIS,"NO.J-G-02, SOHO KI, SOLARIS MONT KIERA, 50480 KL"
220,00d0347606159,00p0992885986,23.25,0,BANHMICAFESDNBHD,"NO,1 JALAN PUTERI 7/10BANDAR PUTERI, 47100 PUCHONG SELANGOR, MALAYSIA"
221,00d0100894168,00p0694047688,476.8,17840,EAONCOJMBHD,"3RD FLR, AEON TAMAN MALURI SC JLN JEJWKA, TAMAN MALURI CHERAS, 55100 KUUALA LUMPUR"
222,00d0292723088,00p0239181579,79.35,17565,FARMASIMALURISB,"23, JIN BURUNG JENTAYU, TMN BUKIT NALURI, KEPONG, 52100 KL."
223,00d0793133421,00p0575017086,142.49,17268,WAHINHARDWARESDNBHD,"425, JALAN PAHANG, SETAPAAK, 5300 OKAULA LUMPUR."
224,00d0661661607,00p0820949442,48.4,17437,GARDENIABAKEIESKLSDNBHD,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
225,00d0206117546,00p0950881357,1.3,0,UNIHKKAINTERNATIONALSDNBHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR"
226,00d0904732199,00p0629802343,129.3,17617,ANNNDOSCHICKENLANDMALAYSIASDNHD,"UNIT G-13, GROUND FLOOR, NO.1 JLN KIARA, MONT KIARA 50480 KUAAIA LUPUR"
227,00d0682202857,00p0834715014,5.3,17867,SYARIKATPERNIAGAANGINKEE,"NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR."
228,00d0914854329,00p0670238386,8.2,17239,UNIHAKKAINTERNATIIONALSDNBHD,"12, JALAN TAMPOI 7/4,KAWASAN PEERIHNDUSTRIAN TAMPOI,81200 OHOR BAHRU,JOHOR"
229,00d0174270341,00p0380024960,70.0,17672,GERBANGALAFRESTAURANTSSDNBHD,"LEVEL 6, BANGUNAN TH, DAMANSARA UPTOW N3 NO.3, JALAN SS21/39,47400 EPTALING JAYA SELANGOR"
230,00d0698784211,00p0121115746,8.7,17466,SANYUSTATIONERYXSHOP,"NO. 31G&3G, JALAN SETTIA INDAH X ,U13/X 40170 STEIA ALM"
231,00d0574862056,00p0648536695,60.6,17616,DOMMALFOODSERVICESSDNHD,"D-08, M AVENUE , JLN 1/ 38A SEGAMBUT BAHAGIA 5120 0 KUALA LUMPUR"
232,00d0722335566,00p0473786081,35.1,17464,GARDENIABAKERIESKLSDNBHD,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
233,00d0372099873,00p0774084098,30.1,0,POPULARBOOKCOMSNBHD,"NO 8, JALAN 7/118B, DESA TUN RAZAK 560000 KUALA LUMPUR,MALAYSIA"
234,00d0696518680,00p0172394661,7.0,17592,LIJMSENGTHOHARDWARETRADING," NO 7. SIMPANG OFF BATU VILLAGE, JALAN IPOH BATU 5, 51200 KUALA LUMPUR MALAYSIA"
235,00d0282138675,00p0530231889,27.1,17371,GARDENIABAKERIESKLSDNBHD,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH A LAM, SELANGOR."
236,00d0581923422,00p0669418891,21.8,17635,DEMAXIMUMTHAIEXPRESSDNNBHD,"BLK 2, UNIT G1 & G2, BESTARI TERRACE, LT PTD 182908 & PTD 143216, JALAN DANGA, TAMAN NU8A BESTARI, 81300"
237,00d0188523936,00p0898638880,27.75,17444,SPEEDMARTSB,"LOT P.T. 2811, JLAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1422-TMN DESA JAYA"
238,00d0147095939,00p0475694256,734.4,17452,DIGITELECOMMUINCATIONSSDNBHD,"LOT LG 315, 1-UTAMA SHOPPING CENTRE, LEBUH BANDAR UTAMA-BANDAR UTAMA, PETALING JAYA, 47800 SELANGOR"
239,00d0209546609,00p0294543973,22.6,17444,PERNIAGAANRIANGRIWA," NL7,JNUERO,SHAH ALAM."
240,00d0124895452,00p0478327876,26.82,17610,HABPYSNACKSENTERPRISE,"19 & 19A, JALAN MERANTI 2A, SEKSYEI B ANDAR BARU BATANG KALI, 44300"
241,00d0843646516,00p0658019336,600.74,17419,GARDENIABAKERIESKLSDNBHD,"LOT 3, UAPLAN PELABUR 233/1, 40300 SHAH ALAM, SELANGOR."
242,00d0826414442,00p0194072860,7.4,0,BBESTRESTAURNAT,"NO.12,JALAN SS4C/5,PETALING JAYA SELANGOR DARUL EHSAN"
243,00d0942116852,00p0411160730,35.8,17545,THESTOREMALAYSIASDNBHD,"LOT 348817 JALAN BATU AMBAR TAMAN KOK LIAN 51200 KUALA LUMPUR,"
244,00d0417300467,00p0377402371,6.35,0,YONGCENENTERPRIE,"9, AJLAN SUBANG JASA 3, 40150 SHAN ALAM, SELANGOR."
245,00d0803190070,00p0247334622,3.1,17274,SANYUSTATIONERYSHOP,"NO. 31G&33G, JALAN SETIA INRDAH X ,U13/X 40170 SETIA ALAM"
246,00d0610473999,00p0861679683,27.55,17548,TEOHENGSTATIONERYBOOKS,"NO.53, JALAN BESAR, 45600 BAATNG BERJUNTAISELANGKOR DARUL EHSAN"
247,00d0106280922,00p0656050609,32.1,17546,TRENDYMAXMSDMBHD,"P6, BLOOCK C, GM KLANG WHOLESALE CITY, JALAN KASUARINA 1, 4120 KLANG, SELANGOR D.E."
248,00d0243521534,00p0886634980,5.3,17609,RESOTRANIBRAHIMMAJUASB,"NO.2, GROUND FLOR, JALAN REKO SENTRAL 8 TAMAN REKO SENTRAL, 43000 KAJANG SELANGOR DE"
249,00d0675832982,00p0131209456,1202.0,17610,GLHANDIVCRATTAILORING,"19, JLAAN KANCIL, OFF JALAN UDU, 55100 KUALA LUMPUR MALAYSIA"
250,00d0272031259,00p0179333014,8.2,17666,UNIHAKAINTERNATIONALSDNBHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAAN TAMPOI,81200 JOGOR BAHRU,JOHOR"
251,00d0606540603,00p0279808410,7.95,17866,SYARIKATPENIAGAANIGNKEE,"NO 290, JALAN AIR PANAS, SEYAPAK, 53200, KUALA LUMPUR."
252,00d0876844472,00p0280407835,6.68,17660,UNIHAKKAINTERNATIONALSDNBHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDSUTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR"
253,00d0859215539,00p0424123137,11.4,17609,SPEEDMARTSB,"LOT P.T. 281, JALAN ANG8A, TAMAN BERKELEY 41150 KLANG, SELANGOR 1245-DESA SRI HARTAMAS"
254,00d0616798510,00p0988638541,42.35,17291,SPEEDMARTSB,"LOT P.T. 2811, JALAN ANGSA, TAMNA BERKELEY 41150 KLANG, SELANGOR 1313-SUBANG BESTARI"
255,00d0834688755,00p0738054413,105.0,17615,ZENANDCOFFEESB,"NO 53, JALAN3/62A, BANDAR MENJALARA, 52200 KUALA LUMPUR."
256,00d0970540567,00p0409161553,8.29,17602,UNIHAKKAINTERNATINALSDNBHD,"12, JALAN TAMPOI7/4,KAWASAN PERINDUSTRIAN TAMPDI,8120 JOHOR BAHRU,JOYHOR"
257,00d0472913563,00p0472032675,24.4,17717,WARAKUYAPERRMASCITYSDNBH,"JALAN PERMAS UTARA 1, PERMAS JAYA 81750 MASAI JOHOR"
258,00d0541369548,00p0514025092,9.2,16844,CHEFLEESNDBHD,"LG226, LGF, 1 UTAMA SHOPPING CENTRWE, LEBUH BANDAR UTAMA, 48700 PETALING JAYA."
259,00d0542157895,00p0303058668,41.0,0,POPULARBOOKCOMSDNBHHD,"NO 8, JALNA 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA"
260,00d0840814576,00p0802584120,110.46,17456,GARDENIABAKERIESKLSDNBHD,"LOT 3, JWLANPELBAUR 23/1, 40300 SHAH ZALAM, SELANGOR."
261,00d0524794165,00p0183388167,11.5,17444,SPEEDMARTSB,"LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELAHGOR 1214-JINJANG UTARA"
262,00d0163078697,00p0467454087,70.21,17377,GARDENIABAKERIESKLSDNBHD,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
263,00d0702637244,00p0103449746,266.1,17649,AEONCOMBHD," 3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMANMALURI CHERAS, 55100 KUALA LUMPUR"
264,00d0757881141,00p0890695698,86.8,17608,SHELLISNIPETROTRADING,LOT 2685 JLN GGENTING KLANG 53300 KL SITE 166
265,00d0271405634,00p0506934592,41.5,17303,HERODISRTIBUTIONSDNBHD,"4243,CPMPLEKS PERNIAGAAN SRI GAYA, JLN TMN SUBANG JASA 3, 40150 SELANGOR"
266,00d0582732557,00p0771362066,28.4,17434,KHIAMAIKCHANSDNBHD,"NO. 76, JALAN SS15/4B, 47800 SUBANGJAYA, SELAGNOR D.E."
267,00d0619690945,00p0964178019,165.0,17168,BEMDESPSEDNBHD,"NO.49, JA LAN DINAR G U3/G, SUBANG PERDANA, 40150 SHAH ALAM, SEANGOR D.SE."
268,00d0174068255,00p0855303858,27.2,17449,GARDENIABAKERIESKLSONBHD,"LOT 3, JALAN PELABUR 23/1, 50300 SHAH ALAM, SELANGOR."
269,00d0678037496,00p0788384537,109.68,0,EDENIMPRESSIONSDNBHD,"LOT NO : 20, LEVEL UG1, PUBLIKA SOLARIS DUTAMAS. NO 1, JALAN DUTZMAS, 50480 KL"
270,00d0365513088,00p0883512229,8.2,17620,UNIHAKKAINTERNATIONALSDNBHD,"122, JALAN TAMPOI 7/4, KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR"
271,00d0937018331,00p0646308480,8.7,17328,ASNYUSTATIONERYSHOP,"NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM"
272,00d0103738916,00p0636193889,367.1,17867,SUPERSEVENCASHCARYSDNBHD,"NO. 1 JALAN EURO 1 OFF JALAN BATU TIGA SUNGAI BULOH SEKSYEN U3 SHAHALAM, 401590"
273,00d0318453525,00p0562419420,118.9,17747,THETOASTFHSDNNBH,LOT 2110&2111 JALAN PERMAS UTARA BANDAR BARU PERMAS 81750 JOHOR BAHRUJOHOR
274,00d0382500008,00p0293704325,30.5,17170,SEGICASHCARRYSDNBHD,"PT17920, SEKSYEN U9, 40150 SHAH ALAM, SELANGOR DA RUL EHSAN."
275,00d0981274700,00p0420085674,21.0,17866,POPULARBOKCOMSDNBHD,"NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA"
276,00d0452553939,00p0385852893,8.2,17667,UNIHAKKAINTERNATIONLASDNBHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,82100 JOHOR BAHRU,JOHOR"
277,00d0395061839,00p0993130244,2.8,17258,THAIDELICIOUSRESTAURANT,"NO.22 JALAN PUTERI 2/4 BANDAR PUTERI 47100 PUCHONG, S ELANGOR"
278,00d0353042107,00p0518246402,616.6,17439,PINGHWAITRADINGSDNBHD,"NO.2, JALAN METRO PERDANA TIMUR 11, KEPONG ENTERPRENUERS PARK, OFF JALAN KEPONG, 52100 KUALA LUMPUR."
279,00d0841330621,00p0252172127,3.5,17684,SINNATHAMBYHOLDINGSSDNBHD,"NO.17, 18 & 41, JALANBESAR, 39100 BRINCHANG, CAMERON HIGHLANDS, PAHANG"
280,00d0652046562,00p0109003671,3.9,17494,MRDIYSDNBHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 4330 SERI KEMBANGAN, SELANGOR"
281,00d0820736669,00p0507129961,1.73,17438,GARDENIABAKERIESILSDNBHD,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
282,00d0935702550,00p0387495183,35.4,17610,BAIFFUMSDNBHD,"DAISO JAPA N, IOJI MALL"
283,00d0388919382,00p0617515870,8.7,17459,SANHUSTATIONERYSHOP,"NO. 31G&33G, JALAN SETIA INDAH X ,UU13/X 40170 8ETIA ALAM"
284,00d0294263018,00p0429221934,4.8,17534,POPULARBOOKCOMSDNBHD,"NO 8. JJALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA"
285,00d0742987288,00p0400394402,35.99,17308,SANYUSTATIONERYSHOP,"NO. 31TG&33G, JALAN SETIA NIDAH X ,U13/X 40170 SETIA ALAM"
286,00d0910676977,00p0782144057,189.75,17620,OWNERBYCASTLEBLUESB,"AVTIVO PLAZA,LOT B-F-11, BLOCK B NPO1.JALAN PJU 9/1,D'SARA AVEVUE BANDZR SRI D'SARA, 5200 KL"
287,00d0571602960,00p0994116372,7.2,17648,DOMINOSPIZZA,"DOMINO' S PIZZA PERMAS JAYA NO.12, JALAN PERMAS JAYA 10, BANDAR BARU PERMAS JAYA, 81750 MASAI JOHOR"
288,00d0645069761,00p0852750667,94.0,17281,YOBNGCENENTERBRISE,"9, JALAN SUBANG JASA 3, 40150 SHAH ALAM, SELANGOR."
289,00d0958758313,00p0895577942,142.0,17471,SKCAHARDWARETIMBERSDNPHD,"LOT 204 & 205, JALAN BATU 12 1/4, KG. DUSUN NANDING, 43100 HULU LANGAT, SELANGOR DARUL EHSAN."
290,00d0747284670,00p0910939886,64.15,17654,TASTEOFTHEWORLDSDNBHD,"LOT 38, 39 101 BOJLEVARD, JALAN KENARI 5, BANDAR PUCHONG AJYA, 47170 PUCHONG, SELANGOR"
291,00d0711624382,00p0641491038,48.15,17611,ZAWIAJAYAFOODNBEVERAGESDNBHD,"106-107, LEVEL 1 THE MINESMALL SERDANG SRI KEMBANGAN, 43300 SELANGOR DARUL EHSAN."
292,00d0989858817,00p0641796093,31.8,16821,SPEEDMRATSB,"LOT P.T. 2811, JALAN ANGSA, TAMAN BETRRKELEY 41150 KLANG, SELANGOR 1558-TMN PUSAT KEPONG"
293,00d0770154989,00p0195843433,75.9,17522,HOMEMASTERHAFWAREELECTTRICAL,"NO.113G & 115G, JALAN SETIA 6EMBILANG U13/BG BANDAR SEETIA ALAM, 40170 BANDAR SETIA ALAM, SELANGOR."
